Site_ID,Latitude,Longitude,Address,Zip_Code,City,Perimeter_m,Image_link,Key_Cont,Voc_level,PM_10,PM_2.5,Air,Noise,Soil_sample,Updates
01_06042024_MinervaStreet,32.3008333,-90.19666667,160 Minerva Street,39203,Jackson,88 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/Debris6_House.jpeg,"Tires, construction debris, plastics, glass, fabric debris, VHS tapes",0.0175,8.575 ug/m3,4.7 ug/m3,19,53 dBA,Yes,7/9/24
02_06122024_Hartfield,32.338169,-90.181709,198 Hartfield Street,39203,Jackson,102.15 m ,https://msildumpbucket.s3.us-east-2.amazonaws.com/Site3.jpeg,"construction debris, metal, fabric, plastic, concrete, pipes, clothing, tires, burnt furniture, shopping, carts, insulation",0.03,15.3 ug/m3,7 ug/m3,27,59 dBA,No,8/1/24
01_06202024_Lexington ,33.09241,-90.045056,1300-1390 Country Road 141,39095,Lexington,192 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/IMG_5471.jpeg,"Tires, trash: styrofoam, cans, bottles, plastic, fabric, & wood",,,,,,No,6/20/24
02_06202024_Lexington ,33.12348,-90.09352,401-431 Ferguson Rd,39095,Lexington,415.45 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/IMG_5493.jpeg,"Tires, chair constrution debris, shingles, cardboard boxes, styrofoam, wood, red solo cups, pipes, fabric, plastic, cans, bottles, grocery bags, shoes, metal cans, rugs, furniture",,,,,,No,6/20/24
03_06202024_Lexington ,33.20027,-90.17263,2397-2366 Rosebank Mt. Olive Rd,39095,Lexington,91.44 m ,https://msildumpbucket.s3.us-east-2.amazonaws.com/IMG_5504.jpeg,"tires, food container trash, cardboard, plastic, water containers, glass, fabric, cans, foil, furniture, stuffed animals, mattress",,,,,,No,6/20/24
04_06202024_Lexington ,33.1761,-90.22852,Cooper Road,39169,Tchula,188.062 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/IMG_5514.jpeg,"concrete, construction debris, furniture, plastic, paint containers, tires, cardboard, burned materials, rusted material, wire netting, wood blocks, mattresses, insulation, food waste, glass, styrofoam, laundry detergent, shoes, toilet",,,,,,No,6/20/24
03_06242024_Claiborne,32.36819,-90.22286,816 Claiborne Avenue,39209,Jackson,127.7 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/Debris4.jpeg,"house structural remains, construction material, furniture, tires, burned debris, barrels, plastic",0.01,7.6 ug/m3,4.3 ug/m3,17,82 dBA,No,8/1/24
04_07162024_WCapitol,32.31108,-90.20701,1550 W. Capitol Street,39203,Jackson,108 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/IMG_5803.jpeg,"tires, construction debris, metal, wood, plastic, paint",0.02,18.2 ug/m3,9.4 ug/m3,41,77 dBA,Yes,1-Aug
05_07302024_ByrdDrive,32.325352,-90.244186,Byrd Drive,39209,Jackson,250 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/IMG_2427.jpeg,tires,0.03,15.37 ug/m3,9.08 ug/m3,37,35 dBA,Yes,7/30/24
06_08302024_WCapitol,32.306429,-90.20028,West Capitol Street,39203,Jackson,168 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/IMG_4588.jpeg,remnants of burned house,0.02,8.2 ug/m3,5.6 ug/m3,23,90 dBA,Yes,7/30/24
07_08122024_GlenErin,32.26297,-90.23679,1044 Glen Erin Street,39212,Jackson,250 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/20240812_094335.jpg,"tires, construction debris",0.02,29.3 ug/m3,17.27 ug/m3,61,84 dBA,No,Cleaned 11-21-24
08_08122024_MeadowLane,32.25676,-90.23513,3211 Meadow Lane,39212,Jackson,102 m,https://msildumpbucket.s3.us-east-2.amazonaws.com/20240812_100729+(1).jpg,"tires, construction debris, furniture",0.09,19 ug/m3,11.35 ug/m3,47,81 dBA,No,8/12/24
09_11142024_MetroCenter,32.302077,-90.251636,3645 US-80,39209,Jackson,,https://msildumpbucket.s3.us-east-2.amazonaws.com/09_MetroCenter.jpeg,"delpidated house, tires, cnstruction devris",,N/A,,,,,
10_11142024_TeresaDr,32.267347,-90.2419112,Teresa Dr,39212,Jackson,,https://msildumpbucket.s3.us-east-2.amazonaws.com/10_TeresaDrive.jpeg,"Abandoned mall, tires, furnature, trash, debris",,N/A,,,,,
11_11142024_RevereSt,32.266631,-90.2407824,Revere St,39212,Jackson,,,"Dumb site on side of street, dump site across from previous in front of abandoned home",,N/A,,,,,
12_11142024_CooperRd,32.253878,-90.2544119,Cooper Rd,39212,Jackson,,https://msildumpbucket.s3.us-east-2.amazonaws.com/12_CooperRd.jpeg,Dump site in front of empty plot of land,,,,,,,
13_11142024_ForestHillRd,32.248229,-90.26643,Forest Hill Rd,39212,Jackson,,https://msildumpbucket.s3.us-east-2.amazonaws.com/13_ForestHillRd.jpeg,dump sites on sides of road,,,,,,,
14_11142024_MccluerRD,32.239689,-90.277783,Mccluer Rd,39212,Jackson,,https://msildumpbucket.s3.us-east-2.amazonaws.com/14_MccluerRd.jpeg,dump site on side of road near abandoned property,,,,,,,
15_11142024_RobinsonRd,32.29528,-90.2591242,"Robinson Rd, Extra Space Storage",39204,Jackson,,https://msildumpbucket.s3.us-east-2.amazonaws.com/15_Robinson+Rd.jpeg,dump site on seemingly abandoned property,,,,,,,
16_11142024_BarnettDr,32.302904,-90.2475511,Barnett Dr,39209,Jackson,,https://msildumpbucket.s3.us-east-2.amazonaws.com/16_BarnettDr.jpeg,dumping sites around storage facility,,,,,,,
17_11142024_NPrentiss,32.317653,-90.208363,North Prentiss St & Fortification St,39209,Jackson,Tires Inn,https://msildumpbucket.s3.us-east-2.amazonaws.com/17_NorthPrentissSt.jpeg,dumping site is majority of entire street on both sides,,,,,,,
